語録,使用方法,備考,
ｱｰｲｷｿ,イキそうな時に,「ｱｰﾅｷｿ」「ｱｰﾊｷｿ」などの応用もある　全部半角なのが特徴,
あーソレいいよ,賛辞を贈る際にでも,野獣が遠野にイチモツをしゃぶらせた時に発した感想。オー・ソレ・ミーオ(イタリアの楽曲名)とコメントされることも,
アイスティーしかなかったんだけどいいかな,,,
頭にきますよ!!,頭にきた時,MURにシャワーをかける時の「頭行きますよ」の空耳,
暴れんなよ…暴れんなよ…,暴れてる相手を制止したい時,「お前の事が好きだったんだよ!」に続く,
ありますあります,自分に経験があるときや、存在がはっきりしているものに。,インタビューで、性感マッサージの経験があるか聞かれて発した言葉。,
114514,相手の誘いを受け入れる時。沢山ある事を強調したい時。淫夢関連の創作物に最大級の賛辞を贈るときなど。,読みは「いいよ、来いよ」,
イキスギィ!,絶頂の直前になったとき,「イキ」の部分を「行き」「生き」「粋」などと解釈する場合も。野獣先輩女の子説の最重要根拠。,
痛いですね…これは痛い,痛い時、もしくは他人の痛い言動を見た時など,バットマン(淫夢)にアナルにバイブを入れられた時の発言だが声は冷静,
王道を征く,,王者の風格,
オォン!アォン!,,遠野とヤッてる時の独特の喘ぎ声。遠野の「フゥン!ホォン!ホォン!」とセットで扱われ、コピペだと「なんだこいつら」に続く,
おかのした,仕事を任された時など,野獣がKMRのチ○コをしゃぶりながらわかりましたと言ったためにこう聞こえる。,
お前の事が好きだったんだよ!,気持ちを告白する時,大胆な告白は女の子の特権,
俺もやったんだからさ,相手に何か行動を促す時,MURを洗いたがらないKMRに対して言った台詞。語尾に(嫌々)・(同調圧力)と付けて使う人もいる。,
お　ま　た　せ,顧客が望んでいるもの(アニメのネタキャラ枠など)が出てきた時に,四章で野獣が放った「お待たせ!アイスティーしかなかったんだけどいいかな?」より,
硬くなってんぜ。溜まってんなあおい,相手のチ○コが溜まって硬くなってる時に,野獣先輩が遠野にサンオイルを塗る時に、股間をまさぐりながら放った言葉,
